kabupaten_kota,tahun,hls__nilai,rls__nilai,amh__nilai,sd__Jumlah Sekolah SD (Negeri),sd__Jumlah Sekolah SD (Swasta),sd__Jumlah Sekolah SD (Negeri+Swasta),sd__Jumlah Guru SD (Negeri),sd__Jumlah Guru SD (Swasta),sd__Jumlah Guru SD (Negeri+Swasta),sd__Jumlah Murid SD (Negeri),sd__Jumlah Murid SD (Swasta),sd__Jumlah Murid SD (Negeri+Swasta),smp__Jumlah Sekolah SMP (Negeri),smp__Jumlah Sekolah SMP (Swasta),smp__Jumlah Sekolah SMP (Negeri+Swasta),smp__Jumlah Guru SMP (Negeri),smp__Jumlah Guru SMP (Swasta),smp__Jumlah Guru SMP (Negeri+Swasta),smp__Jumlah Murid SMP (Negeri),smp__Jumlah Murid SMP (Swasta),smp__Jumlah Murid SMP (Negeri+Swasta),sma__Jumlah Sekolah SMA (Negeri),sma__Jumlah Sekolah SMA (Swasta),sma__Jumlah Sekolah SMA (Negeri+Swasta),sma__Jumlah Guru SMA (Negeri),sma__Jumlah Guru SMA (Swasta),sma__Jumlah Guru SMA (Negeri+Swasta),sma__Jumlah Murid SMA (Negeri),sma__Jumlah Murid SMA (Swasta),sma__Jumlah Murid SMA (Negeri+Swasta),smk__Jumlah Sekolah SMK (Negeri),smk__Jumlah Sekolah SMK (Swasta),smk__Jumlah Sekolah SMK (Negeri+Swasta),smk__Jumlah Guru SMK (Negeri),smk__Jumlah Guru SMK (Swasta),smk__Jumlah Guru SMK (Negeri+Swasta),smk__Jumlah Murid SMK (Negeri),smk__Jumlah Murid SMK (Swasta),smk__Jumlah Murid SMK (Negeri+Swasta)
Kabupaten Aceh Tamiang,2016,13.55,8.21,98.14,156,8,169,1874,91,1979,29525,1362,30688,48,9,57,911,112,1023,10722,1461,12183,21,6,27,579,50,629,7770,344,8114,5,3,8,277,30,307,2685,221,2906
Kabupaten Aceh Tamiang,2017,13.56,8.47,98.14,156,8,164,1754,88,1842,29601,1296,30897,48,9,57,885,112,997,10519,1475,11994,21,6,27,653,66,719,7737,397,8134,5,3,8,282,33,315,2853,222,3075
Kabupaten Aceh Tamiang,2018,13.57,8.7,98.14,159,9,168,1740,89,1829,29243,1341,30584,48,9,57,853,102,955,10406,1497,11903,21,6,27,684,70,754,7875,453,8328,5,4,8,286,37,322,3013,291,3304
Kabupaten Aceh Tamiang,2019,13.58,8.89,98.14,159,10,169,1872,107,1979,29278,1410,30688,48,10,58,881,127,1008,10578,1789,12367,21,6,27,696,66,762,8135,566,8701,5,4,9,289,41,330,3173,360,3533
Kabupaten Aceh Tamiang,2020,13.59,8.9,98.14,158,11,169,1936,114,2050,28464,1475,29939,48,10,58,899,136,1035,10704,2005,12709,21,6,27,742,63,805,8341,638,8979,5,4,9,307,45,352,3140,331,3471
Kabupaten Aceh Tamiang,2021,13.76,8.91,98.24,158,12,170,1888,119,2007,27509,1566,29075,48,10,58,883,131,1014,10701,2205,12906,21,6,27,690,55,745,8440,699,9139,5,5,10,302,41,343,3157,375,3532
Kabupaten Aceh Tamiang,2022,13.96,9.04,98.05,158,12,170,1956,109,2065,27086,1628,28714,48,12,60,873,160,1033,10422,2131,12553,21,6,27,694,58,752,8296,741,9037,5,5,10,317,32,349,2846,387,3233
Kabupaten Aceh Tamiang,2023,14.23,9.24,98.92,158,12,170,1993,111,2104,26672,1685,28358,48,13,61,884,168,1052,10212,2099,12311,21,6,27,742,45,787,8576,804,9380,5,4,9,332,33,365,2855,427,3282
Kabupaten Aceh Tamiang,2024,14.51,9.3,99.14,158,11,169,2030,113,2143,26259,1742,28001,49,16,65,922,176,1098,10081,2062,12143,21,6,27,753,49,802,8677,753,9430,5,4,9,339,37,376,2881,429,3310
Kabupaten Aceh Tamiang,2025,14.51,9.3,99.14,158,13,171,1982,138,2120,26002,1809,27811,49,16,65,898,192,1090,10288,2169,12457,21,7,28,752,56,808,8630,708,9338,5,4,9,347,38,385,2950,402,3352
Kabupaten Aceh Tengah,2016,14.23,9.66,98.55,185,4,197,2163,80,2197,18788,933,20218,43,4,47,839,27,866,6148,348,6496,18,1,19,522,18,540,4761,72,4833,4,1,5,194,14,208,2219,22,2241
Kabupaten Aceh Tengah,2017,14.24,9.67,98.55,188,5,193,2023,104,2127,18690,1242,19932,43,5,48,817,37,854,5978,404,6382,18,1,19,524,16,540,4574,55,4629,4,1,5,197,11,208,2419,35,2454
Kabupaten Aceh Tengah,2018,14.25,9.68,98.55,188,6,194,2001,105,2106,18469,1347,19816,43,5,48,809,44,853,5535,432,5967,18,2,20,524,23,547,4263,107,4370,4,1,5,198,12,210,2411,36,2447
Kabupaten Aceh Tengah,2019,14.26,9.69,98.55,189,8,197,2084,113,2197,18609,1609,20218,43,6,49,887,65,952,5507,638,6145,18,2,20,541,22,563,4192,165,4357,4,1,5,198,14,212,2403,37,2440
Kabupaten Aceh Tengah,2020,14.27,9.85,98.55,190,8,198,2158,124,2282,18145,1732,19877,43,6,49,929,91,1020,5149,856,6005,17,2,19,529,27,556,3946,197,4143,5,1,6,240,18,258,2405,44,2449
Kabupaten Aceh Tengah,2021,14.28,9.86,99.24,190,10,200,1999,167,2166,17853,1955,19808,44,7,51,890,98,988,5056,1093,6149,17,2,19,477,26,503,3919,227,4146,5,1,6,234,18,252,2864,57,2921
Kabupaten Aceh Tengah,2022,14.61,9.87,99.38,190,11,201,2112,205,2317,17660,2115,19775,44,8,52,891,126,1017,4969,1184,6153,17,2,19,488,33,521,4098,218,4316,5,1,6,258,11,269,2228,56,2284
Kabupaten Aceh Tengah,2023,14.85,9.89,98.72,190,12,202,2228,212,2439,17726,2348,20074,44,12,56,908,150,1058,5076,1386,6462,17,2,19,512,23,535,4410,246,4656,5,1,6,288,7,295,2210,59,2269
Kabupaten Aceh Tengah,2024,15.03,10.03,98.68,190,12,202,2343,218,2561,17792,2581,20373,44,13,57,902,145,1047,5186,1539,6725,17,2,19,502,15,517,4574,263,4837,5,1,6,289,12,301,2151,71,2222
Kabupaten Aceh Tengah,2025,15.03,10.03,98.68,190,14,204,2422,270,2692,17897,2759,20656,44,14,58,875,194,1069,5414,1684,7098,17,3,20,490,35,525,4735,280,5015,5,1,6,285,15,300,2288,62,2350
Kabupaten Aceh Tenggara,2016,13.96,9.33,98.6,143,24,176,1514,196,1733,20526,3415,25983,36,22,58,634,178,812,7571,2705,10276,20,7,27,468,60,528,6310,1089,7399,6,9,15,149,66,215,1701,634,2335
Kabupaten Aceh Tenggara,2017,13.97,9.63,98.6,144,26,170,1418,182,1600,20639,3994,24633,36,26,62,640,191,831,7124,3001,10125,20,7,27,479,69,548,6323,1146,7469,6,10,16,156,90,246,1811,780,2591
Kabupaten Aceh Tenggara,2018,13.98,9.64,98.6,144,31,175,1369,211,1580,20767,4575,25342,36,32,68,635,205,840,6768,3234,10002,20,7,27,487,76,563,5901,1144,7045,6,10,16,178,94,272,1874,816,2690
Kabupaten Aceh Tenggara,2019,13.99,9.65,98.6,145,31,176,1470,263,1733,20934,5049,25983,36,38,74,678,283,961,6426,3854,10280,20,8,28,528,79,607,5611,1247,6858,6,10,16,200,98,298,1938,852,2790
Kabupaten Aceh Tenggara,2020,14.0,9.66,98.6,141,33,174,1614,327,1941,20085,5461,25546,36,35,71,751,301,1052,6055,4326,10381,20,8,28,561,82,643,5407,1273,6680,6,10,16,219,101,320,1836,775,2611
Kabupaten Aceh Tenggara,2021,14.01,9.67,99.2,141,35,176,1513,329,1842,19304,5668,24972,36,36,72,707,294,1001,5778,4604,10382,20,8,28,509,79,588,5242,1273,6515,6,10,16,199,91,290,2113,694,2807
