kabupaten_kota,tahun,rasio_murid_per_guru_sd,rasio_murid_per_guru_smp,rasio_murid_per_guru_sma,rasio_murid_per_guru_smk,Jenjang_Terlemah,Prediksi_Jenjang_Terlemah
Kabupaten Aceh Besar,2023,11.190545454545454,10.271676300578035,9.667644183773216,6.941558441558442,SD,SD
Kabupaten Aceh Besar,2024,11.00784034212402,10.289834174477289,9.584037558685447,6.579175704989154,SD,SD
Kabupaten Aceh Besar,2025,11.046306115235065,10.53230543318649,9.523320895522389,6.502136752136752,SD,SD
Kabupaten Aceh Jaya,2016,8.964795432921028,7.2992518703241895,9.853881278538813,6.407407407407407,SMA,SMA
Kabupaten Aceh Jaya,2017,10.107491856677525,6.422018348623853,9.184313725490195,6.391304347826087,SD,SMA
Kabupaten Aceh Jaya,2018,10.496651785714286,6.854117647058824,8.35740072202166,6.3418803418803416,SD,SMA
Kabupaten Aceh Jaya,2019,8.964795432921028,7.84375,8.383211678832117,6.302521008403361,SD,SMA
Kabupaten Aceh Jaya,2020,7.693210393964795,7.158469945355192,7.748175182481752,7.0,SMA,SMA
Kabupaten Aceh Jaya,2021,8.490757855822551,7.9087221095334685,8.902834008097166,7.140495867768595,SMA,SMA
Kabupaten Aceh Jaya,2022,8.247714808043876,6.75830258302583,9.819607843137256,7.052631578947368,SMA,SMA
Kabupaten Aceh Jaya,2023,8.026809651474531,6.702752293577982,10.187022900763358,6.141025641025641,SMA,SMA
Kabupaten Aceh Jaya,2024,7.814685314685315,6.550173010380623,10.782608695652174,6.852348993288591,SMA,SMA
Kabupaten Aceh Jaya,2025,7.755401901469317,6.124183006535947,10.465587044534413,6.745098039215686,SMA,SMA
Kabupaten Aceh Selatan,2016,7.874321179208689,10.4251968503937,10.383333333333333,5.947368421052632,SMP,SMA
Kabupaten Aceh Selatan,2017,7.65489443378119,9.298755186721992,9.74083769633508,6.477732793522267,SMA,SMA
Kabupaten Aceh Selatan,2018,7.974633372968688,8.723643807574208,8.634002361275089,6.2795275590551185,SMP,SMP
Kabupaten Aceh Selatan,2019,7.874321179208689,8.489,8.539379474940334,6.115384615384615,SMA,SMP
Kabupaten Aceh Selatan,2020,7.486656782802076,8.022684310018903,7.8262857142857145,5.833962264150943,SMP,SMP
Kabupaten Aceh Selatan,2021,7.709118891881493,8.109628217349856,8.0,5.579136690647482,SMP,SMP
Kabupaten Aceh Selatan,2022,7.508988764044944,7.818596171376481,7.6,4.5647840531561465,SMP,SMP
Kabupaten Aceh Selatan,2023,7.75,8.216901408450704,7.57258064516129,4.418461538461538,SMP,SMP
Kabupaten Aceh Selatan,2024,8.004801920768307,8.544423440453686,7.578713968957872,4.603715170278638,SMP,SMP
Kabupaten Aceh Selatan,2025,7.824623911322249,8.577137546468402,7.423365487674169,4.767080745341615,SMP,SMP
Kabupaten Aceh Singkil,2016,13.41958041958042,12.4,14.178988326848248,10.091743119266056,SMA,SMA
Kabupaten Aceh Singkil,2017,14.68935427574171,12.040515653775323,13.725563909774436,8.147887323943662,SD,SMA
Kabupaten Aceh Singkil,2018,14.598275862068965,11.123388581952117,13.307142857142857,8.014388489208633,SD,SMA
Kabupaten Aceh Singkil,2019,13.41958041958042,9.609677419354838,13.956989247311828,7.875,SMA,SMA
Kabupaten Aceh Singkil,2020,12.783621337340346,8.976708074534162,13.399317406143345,7.255172413793104,SMA,SMA
Kabupaten Aceh Singkil,2021,13.313084112149532,9.732463295269168,12.863636363636363,7.006756756756757,SD,SD
Kabupaten Aceh Singkil,2022,12.265261627906977,9.677672955974844,11.616949152542373,5.5271739130434785,SD,SD
Kabupaten Aceh Singkil,2023,12.345507669831994,10.188163884673749,10.958199356913184,4.504901960784314,SD,SD
Kabupaten Aceh Singkil,2024,12.426578560939795,11.078616352201259,12.1,4.761904761904762,SD,SD
Kabupaten Aceh Singkil,2025,13.16024653312789,11.066964285714286,12.554517133956386,5.135869565217392,SD,SD
Kabupaten Aceh Tamiang,2016,15.506821627084387,11.909090909090908,12.899841017488077,9.465798045602606,SD,SD
Kabupaten Aceh Tamiang,2017,16.77361563517915,12.030090270812437,11.312934631432546,9.761904761904763,SD,SD
Kabupaten Aceh Tamiang,2018,16.721705850191363,12.463874345549739,11.045092838196286,10.26086956521739,SD,SD
Kabupaten Aceh Tamiang,2019,15.506821627084387,12.268849206349206,11.418635170603675,10.706060606060607,SD,SD
Kabupaten Aceh Tamiang,2020,14.604390243902438,12.279227053140097,11.154037267080746,9.860795454545455,SD,SD
Kabupaten Aceh Tamiang,2021,14.486796213253612,12.727810650887575,12.267114093959732,10.29737609329446,SD,SD
Kabupaten Aceh Tamiang,2022,13.905084745762712,12.151984511132623,12.017287234042554,9.263610315186247,SD,SD
Kabupaten Aceh Tamiang,2023,13.478136882129277,11.702471482889734,11.918678526048284,8.991780821917809,SD,SD
Kabupaten Aceh Tamiang,2024,13.066262249183389,11.0591985428051,11.758104738154614,8.803191489361701,SD,SD
